id,Name,Age,Gender,Location,School_Grade,Daily_Usage_Hours,Sleep_Hours,Academic_Performance,Social_Interactions,Exercise_Hours,Anxiety_Level,Depression_Level,Self_Esteem,Parental_Control,Screen_Time_Before_Bed,Phone_Checks_Per_Day,Apps_Used_Daily,Time_on_Social_Media,Time_on_Gaming,Time_on_Education,Phone_Usage_Purpose,Family_Communication,Weekend_Usage_Hours,Addiction_Level
18,Naima Bessa,17,Female,Aïn Defla,8th,5.5,6.4,98,7,1.0,9,7,1,0,1.1,140,13,2.8,0.0,0.7,Gaming,1,6.5,10.0
19,Hanane Kamel,13,Male,Skikda,11th,6.1,8.0,50,5,0.8,7,2,2,0,1.1,22,14,1.0,1.6,1.4,Browsing,7,5.9,7.9
20,Linda Rouibah,19,Female,Médéa,9th,7.0,6.6,99,0,0.0,5,7,1,0,0.8,25,13,4.0,1.4,1.0,Browsing,6,4.5,10.0
21,Feryel Kaidi,14,Female,Mostaganem,7th,7.1,5.8,78,8,2.2,5,10,7,0,1.3,64,6,2.5,3.2,0.0,Browsing,3,7.8,10.0
22,Ikram Akroum,19,Male,Ouled Lahcene,9th,6.9,3.6,79,5,1.0,5,5,10,1,0.8,32,7,2.0,1.3,1.2,Education,7,6.6,10.0
23,Salah Hadj,16,Male,Husseïn Dey,9th,3.8,5.7,58,10,0.7,1,6,5,0,1.3,70,19,1.3,2.5,1.2,Browsing,6,6.5,10.0
24,Heythem Mostefaoui,19,Male,El Taref,11th,0.0,7.1,82,2,0.0,8,7,8,0,0.2,31,7,1.2,1.3,0.5,Gaming,6,6.8,1.0
25,Feriel Touam,15,Male,Ben Mehidi,11th,4.5,8.2,57,1,1.7,8,4,7,1,2.0,32,18,4.2,2.4,1.8,Social Media,1,3.5,10.0
26,Ryma Mokhtar,16,Prefer not to say,Ouled Lahcene,9th,7.4,5.4,80,10,0.6,3,9,2,1,0.8,148,19,4.0,0.6,0.5,Other,6,6.2,10.0
27,Fethi Djaout,16,Female,Hoceinia,9th,7.3,7.1,84,1,0.5,4,2,10,1,1.5,92,13,2.9,2.3,1.0,Other,10,6.0,10.0
28,Ahlem Saidi,19,Female,Hoceinia,8th,4.4,6.4,76,6,1.2,6,1,8,0,1.6,33,7,3.1,2.6,1.5,Other,5,7.2,9.0
29,Farida Chabane,13,Prefer not to say,Berrihane,9th,6.1,7.2,72,8,0.3,6,2,9,0,0.9,140,8,1.4,1.8,0.3,Browsing,3,4.7,10.0
30,Chahinez Cherif,15,Female,El Hachimia,12th,6.1,6.5,60,5,1.7,3,4,3,0,1.4,91,18,1.8,2.1,1.8,Browsing,4,5.9,10.0
31,Sabrina Adjal,13,Prefer not to say,Aïn Azel,12th,6.0,7.0,55,7,0.2,3,6,7,0,1.1,134,14,2.1,1.1,2.0,Other,7,5.0,10.0
32,Yassin Meftah,18,Female,Rahbat,8th,3.9,6.1,84,6,1.8,9,2,9,0,1.1,87,20,2.5,2.5,0.7,Other,9,2.4,10.0
33,Zineb Lakhdar,13,Female,Aïn Defla,9th,4.0,6.1,78,5,0.1,10,3,8,0,1.4,86,19,3.6,1.7,1.2,Browsing,4,8.7,10.0
34,Akram Cheikh,16,Male,Oued El Berdi,11th,3.8,6.9,98,9,1.6,7,6,5,0,1.4,68,19,2.6,0.6,1.3,Gaming,7,6.6,8.7
35,Riadh Mecheri,18,Prefer not to say,Timimoun,11th,3.7,5.7,50,3,1.3,3,8,1,1,0.8,104,10,3.0,1.7,1.2,Social Media,9,4.8,9.6
36,Samy Guerfi,15,Female,Aïn Defla,10th,6.3,6.5,83,9,2.0,3,7,1,0,1.5,82,17,2.7,1.7,0.6,Gaming,9,4.1,10.0
37,Jaouad Sifi,14,Prefer not to say,Djelfa,7th,2.4,7.9,69,6,1.2,7,7,8,1,0.4,68,8,1.6,0.1,1.3,Social Media,5,4.0,3.1
38,Sana Ouattara,16,Female,Sidi Khelifa,8th,7.9,7.2,89,4,0.0,9,8,7,0,0.8,138,8,4.0,1.6,1.2,Gaming,6,8.5,10.0
39,Inas Ouali,15,Prefer not to say,Tigharghar,12th,2.6,7.0,82,10,0.6,4,1,6,0,1.4,129,7,3.4,2.7,0.0,Education,6,6.3,9.2
40,Ali Ali,13,Prefer not to say,Menaa,7th,3.4,7.9,77,10,0.0,3,6,7,0,1.4,83,20,1.9,2.0,0.8,Education,6,2.8,9.0
41,Narimane Ghazali,14,Female,Annaba,7th,5.5,6.6,90,4,1.1,7,5,10,1,1.3,106,17,4.0,0.7,1.4,Social Media,7,7.1,10.0
42,Omar Kamel,17,Prefer not to say,El Eulma,12th,6.4,3.8,90,6,1.0,4,5,7,1,1.0,47,17,2.5,0.3,1.5,Browsing,7,4.3,10.0
43,Rayane Dekkiche,15,Male,Beni Messous,11th,3.5,5.9,63,0,1.6,10,1,10,1,1.0,62,9,2.4,0.5,1.1,Social Media,8,4.8,6.5
44,Yassin Ben Aoun,16,Male,Souidania,12th,4.7,8.3,54,5,0.4,9,5,6,0,1.8,71,14,2.5,2.3,1.9,Gaming,8,4.7,9.6
45,Sofiane Hamzaoui,17,Male,Biskra,10th,5.5,5.7,98,10,0.6,9,7,10,1,0.6,93,13,4.8,0.8,0.7,Other,8,3.3,10.0
46,Hocine Khelifa,16,Female,Saharij,9th,3.3,7.2,74,4,1.3,2,7,4,1,1.0,111,6,2.7,1.8,1.6,Other,6,4.3,7.6
47,Camila Djilali,18,Female,Beni Messous,11th,4.7,4.7,58,2,0.0,3,10,8,0,0.7,36,13,3.4,2.2,2.3,Other,4,4.3,10.0
48,Mohamed Nasri,13,Prefer not to say,Boumerdès,12th,6.8,7.5,100,2,0.1,1,5,1,0,0.6,36,11,3.3,1.4,1.2,Social Media,3,5.1,10.0
49,Malik El Fassi,15,Prefer not to say,Salah Annaba,10th,5.7,8.6,94,1,1.5,8,8,1,0,0.0,141,13,2.4,0.4,0.8,Browsing,4,6.2,9.6
50,Seifeddine Ghazali,13,Male,Abadia,7th,7.7,7.5,58,0,1.4,9,10,6,0,1.2,41,9,3.6,1.2,1.7,Browsing,10,4.7,10.0
51,amina Cheikh,15,Male,Constantine,9th,5.2,7.5,66,5,1.4,1,10,4,0,0.4,131,7,2.9,0.0,1.5,Education,5,7.0,8.4
52,Oumaima Aissaoui,19,Male,Laghouat,7th,3.5,7.7,81,4,1.2,2,6,9,0,1.6,104,10,2.8,0.7,0.2,Browsing,6,9.1,7.2
53,Nora Ferhat,16,Female,Larbaâ Nath Irathen,10th,7.1,5.6,79,9,0.5,2,3,9,1,0.7,141,11,2.7,1.8,1.5,Other,4,6.3,10.0
54,Riadh Toubal,19,Male,Aïn Abessa,7th,7.2,9.8,86,4,1.2,3,3,5,0,1.1,140,20,1.9,0.0,0.9,Other,5,8.3,10.0
55,Anis Benziane,19,Male,Adrar,9th,4.3,5.8,88,7,2.1,10,3,6,0,0.7,126,9,2.4,1.2,0.8,Browsing,3,6.0,9.3
56,Soraya Rahmani,16,Male,Rahbat,10th,4.5,9.3,50,10,1.1,1,2,4,0,0.8,29,12,2.9,4.0,0.2,Education,2,5.2,9.7
57,Islam Sahraoui,13,Male,Tissemsilt,11th,3.3,6.5,76,7,2.3,4,5,5,0,0.7,31,20,1.9,2.3,1.8,Other,3,2.9,8.9
58,Sofian Selmane,19,Female,Constantine,12th,0.0,4.6,66,5,0.5,6,10,1,1,1.3,69,12,3.8,2.9,0.6,Education,7,2.8,8.2
59,Khaled Akroum,17,Prefer not to say,Sidi Bel Abbès,10th,9.1,4.7,59,3,1.7,1,10,6,0,0.9,135,19,2.2,2.8,0.6,Education,2,6.7,10.0
60,Yassin Ben Said,19,Female,Saïda,12th,3.9,8.4,63,9,0.2,8,5,7,0,0.5,113,17,3.6,2.3,0.8,Browsing,1,2.3,10.0
61,Hakim Guerfi,17,Male,Hamma,9th,7.2,7.4,63,7,0.1,2,3,8,0,0.7,112,11,3.8,0.5,0.5,Social Media,4,2.3,10.0
62,Fatiha Attia,19,Male,Talkhamt,7th,5.1,5.2,54,2,1.5,1,3,3,1,0.9,37,5,4.1,0.6,1.3,Social Media,5,4.0,8.9
63,Abderrahmane Benaissa,17,Prefer not to say,Ouacif,7th,3.6,4.8,95,3,0.1,9,9,3,1,1.3,89,10,3.9,2.1,2.4,Other,10,5.8,10.0
64,Inas Chikh,13,Male,Baraki,12th,6.5,8.1,61,5,0.4,7,4,9,1,2.2,98,6,3.6,1.8,1.1,Browsing,8,2.5,10.0
65,Mansour Ferhat,15,Male,Chabet el Ameur,11th,5.6,7.7,75,9,0.0,3,9,5,1,0.2,72,14,2.0,1.9,0.7,Browsing,3,3.1,9.9
66,Chafik Idir,19,Prefer not to say,Bir Mourad Raïs,8th,4.6,8.4,84,4,1.8,3,4,1,0,0.5,51,18,4.4,2.2,0.7,Other,9,6.8,10.0
67,Siham Selmane,17,Female,Berrihane,10th,2.6,6.9,86,2,1.6,4,7,5,1,0.8,44,9,2.2,2.2,2.9,Other,10,5.1,6.2
68,Oumaima Madani,18,Male,Aïn Torki,9th,5.8,5.5,95,5,0.6,9,3,3,0,1.1,89,8,1.4,1.9,2.2,Education,6,6.7,9.7
69,Malik Tebboune,13,Prefer not to say,Tarik Ibn Ziad,11th,6.3,5.4,100,8,2.0,5,5,3,0,1.8,30,12,1.6,1.4,1.8,Browsing,5,5.5,9.6
70,Heythem Haddouche,15,Female,Skikda,12th,5.2,8.2,56,0,1.9,9,10,6,1,0.0,144,15,1.7,1.0,1.2,Gaming,7,9.0,9.7
71,Juba Attia,13,Female,Mekla,8th,4.9,5.6,98,8,0.4,4,2,3,1,0.5,121,10,4.1,0.7,1.3,Other,1,6.3,10.0
72,Samira Ghazali,18,Male,Sidi Amrane,9th,3.8,7.2,88,7,1.0,3,2,9,1,1.4,65,12,0.7,1.8,0.9,Education,4,6.2,6.4
73,Azzedine Sifi,13,Prefer not to say,Bouira,11th,4.4,7.3,77,9,0.0,10,5,4,0,0.8,72,9,2.2,1.2,0.5,Education,2,4.9,7.4
74,Amin Bouzid,18,Prefer not to say,Bordj Bou Arréridj,10th,4.3,5.9,62,4,0.6,1,6,3,0,1.9,144,11,0.4,1.8,1.6,Social Media,1,10.2,8.6
75,Heythem Rabhi,16,Male,Souk El Khemis,8th,2.6,6.2,86,9,0.7,8,7,6,1,1.0,62,20,3.2,1.5,1.7,Gaming,6,4.3,9.4
76,Narimane Benali,13,Prefer not to say,Boukhelifa,11th,4.6,6.2,78,0,0.8,2,3,2,0,1.4,73,17,4.8,1.8,1.0,Social Media,10,7.6,10.0
77,Kenza Ghazi,16,Male,Sidi Amrane,12th,8.0,4.8,86,10,1.1,1,9,10,0,1.2,96,16,3.8,2.3,1.0,Gaming,2,7.7,10.0
78,Tarek Chaoui,17,Female,Ouled Lahcene,9th,4.1,6.8,62,10,1.5,3,8,10,1,1.0,127,15,4.2,1.5,0.3,Education,10,5.3,10.0
79,Leila Abderrahmane,18,Female,Beni Messous,10th,4.0,7.0,75,0,0.2,4,8,10,1,1.4,118,17,1.0,0.1,1.6,Other,3,5.4,7.4
80,Manel Ben Said,17,Male,Annaba,10th,3.5,6.9,79,4,2.1,4,5,5,1,0.6,117,8,0.0,2.3,0.1,Education,7,5.1,6.3
81,Habiba Mezouar,16,Male,Biskra,9th,3.3,5.3,50,4,0.0,7,1,6,0,0.3,141,14,0.7,3.2,0.0,Gaming,5,5.1,10.0
82,Majid Nacer,18,Male,Saoula,8th,2.9,8.1,57,9,2.6,8,8,8,1,0.9,93,6,2.4,1.7,2.0,Browsing,6,7.6,6.0
83,Abdelkader Kaci,19,Female,El Bayadh,11th,3.3,5.0,92,10,0.0,6,6,10,0,1.7,35,18,5.0,2.8,0.5,Gaming,6,7.1,10.0
84,Imad Mohamed,17,Prefer not to say,Illizi,10th,4.7,5.0,89,9,0.2,9,2,10,1,0.9,39,8,2.5,1.6,0.7,Browsing,2,5.7,8.7
85,Mourad Attia,16,Female,Oued El Berdi,7th,1.6,7.6,53,1,0.3,3,9,4,0,0.9,104,10,2.5,2.3,2.0,Social Media,9,6.2,6.7
86,Chahinez Ghazali,16,Male,Tagra,8th,6.1,4.9,50,6,1.0,3,3,9,1,1.1,25,6,2.4,1.6,0.0,Gaming,10,2.5,9.3
87,Karim Benziane,19,Male,Biskra,10th,3.6,7.2,92,3,1.8,1,5,9,0,1.5,36,9,3.3,0.1,1.1,Other,1,4.5,5.9
88,Zohir Nadjib,19,Female,Rouina,11th,5.6,4.5,51,2,1.4,9,4,4,0,1.1,143,11,1.7,1.6,0.5,Social Media,3,8.5,10.0
89,Rami Bousmaha,15,Male,Dély Ibrahim,9th,3.7,6.1,76,6,0.0,8,3,2,0,0.8,54,15,3.4,0.3,1.1,Social Media,2,6.1,8.4
90,Yasine Aissaoui,19,Prefer not to say,Tagra,12th,5.9,8.5,87,2,0.0,4,10,9,0,1.5,48,6,3.0,1.5,0.7,Social Media,2,6.5,8.3
91,Oumaima Mansouri,18,Male,Sidi Lakhdar,10th,5.6,6.1,73,4,2.2,10,6,1,0,0.7,34,16,3.1,0.5,1.6,Other,9,5.9,10.0
92,Soraya Lounes,19,Male,Draâ Ben Khedda,11th,3.6,7.4,97,4,0.8,6,5,7,1,0.8,32,8,3.0,0.4,2.3,Education,8,8.3,5.5
93,Nesrine Bouterfa,17,Male,Tindouf,7th,2.9,6.1,85,1,2.0,1,5,4,0,1.1,27,14,3.1,0.3,0.8,Gaming,1,4.4,6.6
94,Ahlem Saidane,18,Female,El Bayadh,7th,4.8,7.4,93,1,0.9,4,9,2,1,1.5,125,6,1.9,2.5,1.4,Education,10,6.2,9.2
95,Hocine Ykhlef,15,Prefer not to say,Tissemsilt,7th,6.0,3.0,88,7,0.3,9,10,2,1,0.7,27,8,3.0,1.2,1.1,Browsing,8,4.7,10.0
96,Yasmina Louanchi,18,Male,Mila,7th,8.2,5.4,94,5,2.1,9,7,10,0,0.4,143,17,2.2,1.6,0.0,Social Media,8,9.4,10.0
97,Ryma Daoudi,13,Female,Bordj Bou Arréridj,11th,6.3,3.9,60,6,0.9,1,5,10,0,0.6,30,16,2.3,0.2,1.0,Social Media,10,7.7,10.0
98,Riad Yahiaoui,18,Male,Tébessa,7th,9.1,5.6,93,3,1.8,2,3,2,1,1.1,64,8,3.3,1.9,1.8,Education,5,6.6,10.0
99,Chawki Charef,15,Male,Dar El Beïda,7th,4.6,4.9,77,3,1.1,4,8,8,0,0.0,48,5,2.4,1.0,2.5,Browsing,3,6.3,7.5
100,Malika Tebboune,13,Male,Sidi Bel Abbès,8th,4.5,5.2,95,6,0.4,3,6,1,0,1.4,146,8,3.3,1.5,0.7,Gaming,3,2.5,10.0
101,Lyes Mansouri,13,Prefer not to say,Ouargla,12th,4.7,6.0,93,4,0.0,10,3,9,1,1.1,38,19,3.0,0.2,1.6,Social Media,2,5.8,9.5
102,Samira Ouahrani,19,Prefer not to say,Illizi,7th,5.1,7.0,64,4,1.5,10,6,7,0,1.7,140,5,0.5,1.7,0.9,Gaming,2,7.7,7.6
103,Rayane Chaoui,19,Male,Tindouf,10th,8.0,5.7,57,7,0.5,7,3,9,1,0.5,29,13,1.7,0.0,0.5,Social Media,2,5.6,10.0
104,Yahia Ben Messaoud,17,Male,Ouargla,10th,5.2,4.5,59,5,1.2,8,3,9,0,1.0,22,10,3.5,0.9,1.0,Other,2,7.0,9.8
105,Manel Rabhi,14,Prefer not to say,Aïn Torki,11th,1.2,5.9,59,5,0.0,10,6,8,0,0.0,95,18,3.7,1.1,1.8,Education,7,1.8,8.5
106,Djamila Djilali,14,Female,Illizi,9th,6.2,6.2,80,3,0.9,4,9,10,1,0.2,35,10,2.4,1.4,1.1,Browsing,7,4.2,9.6
107,Sofiane Bouteldja,18,Male,Tala Hamza,9th,2.5,7.6,82,4,0.9,9,3,1,0,1.6,43,18,1.8,2.7,2.3,Education,4,6.7,7.7
108,Adila Rouibah,17,Male,Ouled Saber,10th,8.4,7.7,57,3,1.4,6,8,5,0,0.5,49,14,1.3,1.5,1.4,Education,10,4.6,10.0
109,Nawal Chikh,17,Prefer not to say,Abadia,9th,1.9,5.8,77,6,1.7,5,4,6,0,0.3,133,14,2.3,2.1,2.1,Education,10,6.4,8.9
110,Mohamed Trabelsi,16,Prefer not to say,Djendel,7th,2.5,6.2,100,0,1.0,3,5,10,0,0.5,115,16,2.7,1.0,2.0,Gaming,4,1.2,8.6
111,Zohir Tebboune,19,Male,Tlemcen,7th,5.6,9.0,63,5,1.2,7,9,6,1,1.2,68,10,2.7,2.9,2.2,Social Media,1,5.7,10.0
112,Nesrine Boussaada,19,Female,Messaad,12th,3.4,8.5,54,10,2.5,8,5,9,0,0.9,42,6,2.2,2.0,1.0,Education,4,6.4,5.4
113,Yasmina Bouterfa,15,Female,Tissemsilt,8th,0.9,5.8,92,8,1.2,8,1,1,1,1.5,119,14,2.6,1.9,0.0,Education,7,8.3,7.7
114,Nada Sifi,19,Prefer not to say,Benifouda,8th,5.5,7.0,57,5,1.5,10,9,1,0,0.0,27,17,2.4,0.0,1.4,Social Media,1,7.2,8.3
115,Hocine Amara,14,Female,Maatkas,11th,2.6,7.6,64,2,2.3,2,5,10,1,0.6,126,13,4.5,0.9,1.8,Social Media,5,5.2,9.3
116,Zohir Arar,16,Prefer not to say,Illizi,11th,4.1,6.1,69,1,2.5,9,6,1,1,1.1,119,15,1.5,3.1,1.4,Social Media,5,6.3,10.0
117,Sabah Messaoudi,18,Female,Guelma,7th,8.7,7.6,63,1,1.2,8,10,8,0,1.7,142,16,1.3,0.1,0.0,Social Media,1,5.4,10.0
118,Ilyes Khammar,19,Prefer not to say,Mila,11th,4.4,6.6,97,6,1.6,8,10,4,1,1.2,134,17,2.2,1.5,1.8,Education,4,6.8,10.0
119,Soha Mostefaoui,18,Prefer not to say,M'Sila,11th,4.9,3.0,75,8,0.3,6,8,4,1,0.6,112,11,0.5,2.8,0.3,Education,6,4.1,10.0
120,Tayeb Chabane,16,Female,Chéraga,10th,6.9,4.3,70,7,1.5,9,1,10,0,1.3,40,12,2.7,1.9,1.1,Browsing,10,8.4,10.0
121,Malika Chikh,17,Prefer not to say,Les Eucalyptus,9th,2.4,9.3,88,1,1.3,8,3,2,1,1.3,32,15,3.2,0.0,1.2,Browsing,7,8.3,4.6
122,Radia Benaissa,14,Female,Tichrine,9th,6.9,6.1,55,9,1.0,9,5,9,1,0.0,39,13,1.7,0.6,0.0,Browsing,7,6.4,9.5
123,Ghiles Moussaoui,16,Male,Medjana,12th,3.3,5.7,83,10,0.8,7,5,8,1,1.6,120,7,2.8,2.9,2.2,Gaming,10,8.1,10.0
124,Radia Nasri,15,Female,Sétif,12th,4.8,7.8,62,10,2.4,7,6,6,1,0.6,52,12,2.3,2.0,1.5,Other,4,4.1,8.6
125,Chafik Sahraoui,18,Female,Bouira,7th,5.1,5.7,98,5,0.3,6,2,3,0,0.6,45,6,2.8,0.3,1.2,Social Media,8,9.3,7.5
126,Samy Debbah,13,Prefer not to say,Salah Bouchaour,8th,5.3,8.7,85,2,1.6,5,4,4,0,1.2,58,11,0.7,0.3,0.0,Gaming,2,6.8,5.3
127,Bilal Rahmouni,17,Prefer not to say,Oued Zénati,7th,5.8,5.4,65,6,1.0,7,10,1,0,1.0,81,10,4.1,1.3,1.8,Gaming,2,7.6,10.0
128,Habiba Djaout,16,Male,Aïn Defla,10th,5.3,6.2,50,1,1.9,8,6,4,1,1.8,132,6,1.6,2.1,0.9,Education,3,5.0,9.7
129,Jihane Zitouni,18,Prefer not to say,Annaba,11th,8.4,5.8,75,9,1.8,7,4,5,1,1.0,90,15,2.3,0.8,0.0,Other,4,2.9,10.0
130,Lina Gacemi,13,Female,Tigzirt,10th,4.0,6.2,59,7,0.2,10,10,1,0,0.7,114,13,2.7,2.5,0.8,Social Media,5,6.9,10.0
131,Zine Eddine Haddouche,15,Female,Draâ Ben Khedda,9th,7.5,8.4,95,10,0.0,8,4,5,1,1.9,56,7,1.8,2.3,1.2,Browsing,8,5.0,9.9
132,Rayane Abderrahmane,13,Prefer not to say,Hassi Bahbah,9th,3.6,6.0,65,9,0.4,5,2,6,1,1.6,83,11,1.1,2.2,0.8,Education,4,4.5,7.8
133,Yacine Ykhlef,18,Male,El Hadjira,9th,5.2,7.8,52,6,0.0,10,9,9,1,0.6,84,20,3.5,0.5,0.3,Other,6,4.3,10.0
134,Karima Benziane,19,Female,In Guezzam,7th,5.0,7.6,77,1,0.3,6,9,2,1,1.4,106,18,3.8,2.1,0.8,Other,8,4.2,10.0
135,Malika Bousmaha,18,Male,Tissemsilt,12th,3.9,8.2,97,8,0.3,2,4,7,1,0.5,35,19,2.1,0.0,1.0,Browsing,4,7.1,6.4
136,Farid Louanchi,13,Female,Djanet,9th,7.1,7.6,63,1,1.9,8,4,5,0,1.5,115,19,2.8,3.1,1.6,Education,10,0.3,10.0
137,Souad Benziane,19,Female,Biskra,11th,4.9,7.2,54,8,1.6,3,2,1,1,0.2,115,6,2.0,2.8,1.8,Other,1,5.5,9.6
138,Seifeddine Louanchi,16,Female,Mila,11th,7.7,6.0,61,9,2.6,7,7,9,0,0.8,66,7,2.6,3.3,2.6,Gaming,1,4.2,10.0
139,Nadir Chaoui,13,Prefer not to say,In Guezzam,12th,2.8,8.6,62,6,1.3,8,4,6,0,1.5,82,19,3.7,1.0,0.0,Other,2,6.5,8.6
140,Tarek Ykhlef,19,Female,Ouargla,7th,7.6,6.4,88,4,0.0,6,4,8,0,1.8,77,15,4.6,0.0,0.0,Gaming,7,7.1,10.0
141,Sofian Zouaoui,13,Male,Ouled Fayet,11th,4.9,5.1,99,2,1.5,3,5,3,1,1.2,63,19,4.4,2.2,0.8,Browsing,4,5.9,10.0
142,Inas Ghazali,14,Female,Saïda,12th,7.7,10.0,82,2,1.7,7,7,10,1,1.3,105,7,2.7,1.4,0.8,Browsing,9,6.4,10.0
143,Rami Selmane,13,Female,Souk Ahras,7th,5.9,7.3,68,0,0.2,1,3,6,0,1.8,64,15,4.3,1.2,2.0,Education,4,10.5,10.0
144,Leila Louanchi,14,Prefer not to say,Aïn Témouchent,12th,7.5,5.3,86,1,0.5,9,3,3,0,1.5,135,6,2.5,0.0,0.2,Other,7,5.4,10.0
145,Fatima Iles,14,Prefer not to say,Khemis Miliana,9th,6.8,5.6,74,1,1.3,2,4,10,1,1.5,99,19,4.1,0.9,0.3,Social Media,2,6.3,10.0
146,Omar Ziani,16,Female,Ksar El Abtal,10th,1.8,6.7,73,10,1.6,1,9,5,0,0.7,143,8,4.6,1.8,0.7,Social Media,9,1.7,9.3
147,Riad Bouteldja,16,Prefer not to say,Sidi Bel Abbès,12th,2.9,5.5,85,9,0.2,7,3,2,0,0.3,126,15,2.8,1.8,0.8,Browsing,9,3.8,10.0
148,Youssra Mezouar,13,Female,El M'Ghair,10th,3.7,5.7,90,6,0.8,3,6,7,0,0.6,117,20,3.2,1.3,1.6,Other,10,5.5,10.0
149,Assia Haddouche,17,Prefer not to say,Illizi,9th,4.9,6.5,89,1,0.8,7,1,5,0,1.2,37,12,1.8,2.0,1.2,Social Media,3,7.8,8.6
150,Celia Sahraoui,15,Male,Tiaret,7th,5.5,10.0,61,0,0.5,8,9,7,0,0.7,81,10,2.7,1.2,0.4,Social Media,5,6.7,8.0
151,Zaki Henni,17,Female,Souk El Khemis,10th,5.4,6.1,69,9,1.4,4,7,1,0,0.9,132,11,3.8,1.2,0.7,Browsing,7,6.5,10.0
152,Zohra Benabdallah,15,Prefer not to say,Ouadhias,10th,3.2,4.3,71,8,2.1,6,6,8,1,1.3,28,10,4.9,0.0,0.5,Browsing,1,10.0,8.5
153,Faysal Boussaada,18,Male,Mila,9th,6.0,7.6,61,3,1.1,6,6,3,1,1.5,95,20,2.9,0.0,0.6,Other,7,5.0,10.0
154,Siham Guerfi,15,Male,Sétif,10th,6.4,9.3,51,2,0.0,4,6,6,1,1.5,86,6,1.8,2.4,1.2,Education,7,5.5,8.9
155,Asma Mezouar,15,Male,Ouled Djellal,8th,9.4,6.7,68,1,2.6,3,8,6,0,1.2,79,16,0.8,1.7,2.0,Browsing,5,4.9,10.0
156,Hakim El Hachemi,19,Female,Bouzina,10th,7.3,4.9,73,6,0.8,10,9,8,1,1.2,33,15,2.5,0.6,0.6,Browsing,3,7.0,10.0
